method,n,seed,mae,rmse,r2,mape,bep_q_err,bep_h_err,bep_eff_err
BO-UCB,6,12,0.011183050602849968,0.016262696028651845,0.9296265000988608,1.7911224963593992,0.017000000000000015,3.0,0.005822634642377866
BO-UCB,6,13,0.005793204244108009,0.008932387828294402,0.9787695498046524,1.000200120983352,0.02739999999999998,0.0,0.018275005397120125
BO-UCB,6,14,0.02065051370016631,0.03348984733710106,0.701564558960333,3.81432989458887,0.0,0.0,0.010432358369106165
BO-UCB,6,15,0.006215762358336496,0.009987056629663225,0.9734601119690672,1.083776016409787,0.02739999999999998,0.0,0.001214758765740065
BO-UCB,6,16,0.008193269311286368,0.010761885298604734,0.9691822605339184,1.3624026427748408,0.0049000000000000155,2.0,0.013832079789369955
BO-UCB,6,17,0.011779042606805143,0.018522706182220353,0.9087079547469843,2.135567758392991,0.007600000000000051,1.0,0.01612341866277156
BO-UCB,6,18,0.023132316404938656,0.038797850770412576,0.5994659906987801,4.311351509135012,0.007600000000000051,1.0,0.011643990181486985
BO-UCB,6,19,0.004016783846900665,0.005824287507558094,0.9909737019133392,0.6466623736526794,0.02739999999999998,0.0,0.01766019133566099
BO-UCB,8,0,0.01942263900114162,0.031005947963428666,0.7441920195697551,3.566600552225157,0.007600000000000051,1.0,0.013476281566897508
BO-UCB,8,1,0.007604571381315135,0.011676503755671846,0.9637214677571839,1.3570317721873997,0.02739999999999998,0.0,0.0005977375303296562
BO-UCB,8,2,0.011169598067286868,0.01847237368517149,0.9092034237699915,1.986213631385805,0.018299999999999983,0.0,0.0012234153331485143
BO-UCB,8,3,0.012159993993854772,0.018053710085961537,0.913272467665326,2.1556790788943285,0.0,0.0,5.515804339939478e-07
BO-UCB,8,4,0.006078632133632609,0.009641046796132792,0.9752672479817135,1.0630181566197772,0.018299999999999983,0.0,0.01153106599342979
BO-UCB,8,5,0.006305793860026057,0.009018299984828643,0.9783591947606654,1.1013693181285609,0.007600000000000051,1.0,0.013412140752109503
BO-UCB,8,6,0.010109437617607622,0.013764736518867464,0.9495849889559725,1.751693157764521,0.007600000000000051,1.0,0.00841708309612621
BO-UCB,8,7,0.013544187777536434,0.02083357226088188,0.8845080941931576,2.40737192160392,0.0,0.0,1.2427516813406925e-06
BO-UCB,8,8,0.00951465363967166,0.016808824787763268,0.9248206161970696,1.7200621546558523,0.007600000000000051,1.0,0.008416920562672847
BO-UCB,8,9,0.009416126338324856,0.014449375504291859,0.9444451196836158,1.6892844940079352,0.007600000000000051,1.0,0.008417413980427835
BO-UCB,8,10,0.01152964062604488,0.01582489984337146,0.9333644477392853,1.9308711180842701,0.007600000000000051,1.0,0.009368377574898279
